LAT,LONG
47.72699887,-122.3123396
47.61990775,-122.3208729
47.58351861,-122.3102625
47.58957702,-122.3038813
47.55370527,-122.3328275
47.6054083,-122.3368909
47.63911739,-122.3460435
47.58856233,-122.3280571
47.61396985,-122.3450828
47.60915735,-122.3436593
47.60866965,-122.3431723
47.70753454,-122.3429984
47.66186458,-122.3408408
47.58944233,-122.3034199
47.58936367,-122.3040798
47.56169144,-122.3252963
47.66439108,-122.3735931
47.62850402,-122.3152147
47.55913498,-122.3639687
47.65357217,-122.3763346
47.63500818,-122.343346
47.55913498,-122.3639687
47.57663066,-122.336666
47.67143628,-122.3158757
47.54685413,-122.3756827
47.52316571,-122.3599674
47.54159797,-122.2859921
47.7096034,-122.2822606
47.64977208,-122.3824564
47.61842339,-122.3507512
47.59215742,-122.3106482
47.6889768,-122.3104127
47.61193028,-122.3464061
47.58804788,-122.3258487
47.63614981,-122.3456555
47.56220714,-122.3234908
47.72347842,-122.3259522
47.67042227,-122.3383606
47.71722236,-122.2931693
47.66023395,-122.3158144
47.70839329,-122.3427857
47.70753454,-122.3429984
47.72226613,-122.2968386
47.68212498,-122.2633011
47.55913498,-122.3639687
47.61299441,-122.3474921
47.52248267,-122.3932037
47.58089368,-122.3862319
47.57786199,-122.3369085
47.60915735,-122.3436593
47.61288924,-122.3167334
47.59223214,-122.30995
47.57619151,-122.3371073
47.5765667,-122.3366661
47.57719039,-122.3369088
47.57854027,-122.2948819
47.59075653,-122.3171588
47.60377872,-122.3303257
47.7027408,-122.3638128
47.57854027,-122.2948819
47.66390533,-122.3149522
47.6129037,-122.3391651
47.66664335,-122.3688951
47.67160847,-122.4049659
47.64489823,-122.3849984
47.6448928,-122.3858327
47.69801174,-122.3590504
47.64944118,-122.3818234
47.70999395,-122.3171826
47.63928075,-122.3451874
47.63673481,-122.3462091
47.59247672,-122.3102118
47.57164467,-122.352322
47.57309372,-122.3133963
47.61487027,-122.3374813
47.65497517,-122.3857673
47.59045353,-122.3075261
47.59043094,-122.3075094
47.57709444,-122.3369089
47.57669463,-122.336666
47.69620714,-122.3449597
47.60866965,-122.3431723
47.56220714,-122.3234908
47.57734007,-122.3361358
47.65673795,-122.3722291
47.56526131,-122.287024
47.64789695,-122.3404641
47.52505285,-122.3656292
47.58882056,-122.3301728
47.59777023,-122.3183959
47.65684228,-122.3855839
47.66520959,-122.3354813
47.66190289,-122.3765282
47.67062653,-122.3067476
47.70310278,-122.3020917
47.69211296,-122.3442742
47.57734007,-122.3361358
47.59194787,-122.3096947
47.66025558,-122.3671408
47.66242749,-122.3768265
47.66290442,-122.3122854
47.62795516,-122.3501548
47.64838612,-122.3231429
47.67299856,-122.3202627
47.62056,-122.3198445
47.59210666,-122.3070392
47.66190289,-122.3765282
47.72144108,-122.3133964
47.66447606,-122.3463168
47.6960507,-122.3427603
47.65852839,-122.3127981
47.66144931,-122.3761052
47.66420412,-122.3171401
47.53925802,-122.3208967
47.53925802,-122.3208967
47.61480387,-122.3456784
47.66292074,-122.3640007
47.57734007,-122.3361358
47.66204928,-122.3769521
47.65371249,-122.328201
47.57170033,-122.3396801
47.7034559,-122.3529481
47.58930173,-122.3071986
47.5893696,-122.305645
47.67572243,-122.2635447
47.61408812,-122.3268205
47.66842115,-122.3783367
47.69600943,-122.3310376
47.68911276,-122.3445144
47.64312393,-122.3468164
47.64312393,-122.3468164
47.64838613,-122.3231429
47.65468768,-122.3182161
47.58926801,-122.3301078
47.58882056,-122.3301728
47.58882056,-122.3301728
47.66918792,-122.3009292
47.66918792,-122.3009292
47.66893252,-122.3009473
47.59223213,-122.30995
47.64024794,-122.3766177
47.72050799,-122.3010257
47.73220937,-122.2994821
47.66190289,-122.3765282
47.71855538,-122.3005293
47.70658452,-122.3360282
47.59980026,-122.3203398
47.55553513,-122.3268248
47.69007694,-122.3450124
47.69007694,-122.3450124
47.61618183,-122.3502862
47.66292074,-122.3640007
47.59812818,-122.3019073
47.67114371,-122.3048183
47.61881796,-122.3338891
47.59007852,-122.3294943
47.70998935,-122.3165058
47.63650987,-122.3441809
47.62283069,-122.3279937
47.69061532,-122.3281129
47.70533143,-122.3162989
47.61940611,-122.3130405
47.65584936,-122.3245386
47.61271039,-122.3473724
47.69590739,-122.3609491
47.52626722,-122.3162072
47.62641637,-122.333249
47.66706272,-122.3135266
47.58052077,-122.373142
47.65344844,-122.3604438
47.69074495,-122.3813724
47.73366291,-122.3093599
47.59089168,-122.3078573
47.59180593,-122.3066978
47.65921132,-122.3621762
47.51993709,-122.3434619
47.61544972,-122.3307297
47.53567559,-122.2827149
47.73394423,-122.3339593
47.55927589,-122.3628957
47.64312393,-122.3468164
47.70760014,-122.345803
47.59475822,-122.3117076
47.67579817,-122.376682
47.69307563,-122.343149
47.67020516,-122.3426531
47.59475822,-122.3117076
47.6387155,-122.3456904
47.68865558,-122.3417256
47.69152874,-122.3706863
47.6707024,-122.3060627
47.66893252,-122.3009473
47.70272962,-122.3024548
47.56544314,-122.3681248
47.62593697,-122.3479383
47.63941577,-122.318634
47.601685,-122.3264725
47.64786191,-122.323779
47.635758,-122.3443963
47.59560737,-122.3136904
47.60537425,-122.3322566
47.571592,-122.3440064
47.68891595,-122.345216
47.57217181,-122.3242146
47.63534217,-122.3435843
47.51635915,-122.3481498
47.62284452,-122.3090113
47.66740114,-122.3988333
47.69996021,-122.3450549
47.72493818,-122.3042805
47.58946274,-122.3087322
47.70415727,-122.3497029
47.64841029,-122.3554086
47.54055607,-122.3697426
47.53666216,-122.2831748
47.56845197,-122.3273199
